Server,Scan_ParsedFaction,Row,Column
5023,770,27,31
5024,2287,27,5
459,2607,6,6
968,968,28,30
3141,836,6,30
3479,2287,28,6
949,2287,29,7
3424,2699,5,7
3521,3521,29,29
4083,836,5,29
17,0,30,8
1865,836,4,28
2697,2699,4,8
2911,2325,30,28
2861,2861,31,9
3410,341,3,9
3616,2216,3,27
4061,2623,31,27
1065,1173,32,10
1687,2216,2,26
2826,2623,32,26
4074,341,2,10
369,2216,1,25
596,341,1,11
1425,1173,33,11
2954,2216,33,25
1977,2216,34,24
2041,1173,34,12
3451,1508,10,1
5019,383,24,1
1410,770,25,34
1540,1508,9,2
2292,383,25,2
2341,1508,9,34
437,1508,8,33
1438,1438,8,3
2896,2287,26,3
4047,770,26,33
296,2345,7,4
3421,2287,27,4
3545,770,27,32
4090,1508,7,32
441,770,28,31
661,1508,6,31
1870,2699,6,5
3439,2287,28,5
616,3355,29,30
2007,836,5,30
4057,2287,29,6
4085,2699,5,6
782,3355,30,29
836,836,4,29
1666,1666,30,7
1951,2699,4,7
2290,2290,31,28
2442,836,3,28
3425,3425,31,8
6007,341,3,8
795,341,2,9
1474,341,32,9
2623,2623,32,27
2781,2216,2,27
1,0,1,26
2428,2216,33,26
3168,341,33,10
3477,341,1,10
1173,1173,34,11
2900,2216,34,25
383,383,25,1
5048,1508,9,1
613,1508,8,2
1982,383,26,2
2749,770,26,34
3308,1508,8,34
694,1508,7,33
770,770,27,33
2544,1508,7,3
2692,2287,27,3
730,1508,6,32
3342,2287,28,4
3344,3344,6,4
3523,770,28,32
1644,3355,29,31
1724,2287,29,5
5042,1508,5,31
5043,184,5,5
1397,2699,4,6
2878,3355,30,30
3018,836,4,30
3423,2287,30,6
707,341,3,7
973,836,3,29
1468,1468,31,7
1957,2288,31,29
3372,2623,32,28
3540,341,32,8
4077,341,2,8
5037,2216,2,28
19,0,33,9
2008,2216,33,27
2923,341,1,9
3051,2216,1,27
1248,2216,34,26
1475,341,34,10
955,1508,8,1
2138,770,26,1
271,770,27,34
767,1508,7,2
1449,770,27,2
1508,1508,7,34
242,770,28,33
702,2287,28,3
1487,1508,6,33
3277,184,6,3
513,2287,29,4
1381,1508,5,32
2735,184,5,4
4055,770,29,32
579,2287,30,5
1868,836,4,31
2505,3355,30,31
3509,2699,4,5
761,3355,31,30
1828,1828,31,6
2040,341,3,6
2465,836,3,30
839,341,2,7
1136,836,2,29
2288,2288,32,29
2558,2558,32,7
341,341,1,8
