Server,Scan_ParsedFaction,Row,Column
3451,1508,10,1
5019,5019,24,1
1410,770,25,34
1540,1508,9,2
2292,2292,25,2
2341,1508,9,34
437,1508,8,33
1438,1508,8,3
2896,2287,26,3
4047,770,26,33
296,1508,7,4
3421,2287,27,4
3545,770,27,32
4090,1508,7,32
441,770,28,31
661,1508,6,31
1870,2699,6,5
3439,2287,28,5
616,616,29,30
2007,1508,5,30
4057,2287,29,6
4085,2699,5,6
782,782,30,29
836,836,4,29
1666,2287,30,7
1951,341,4,7
2290,2290,31,28
2442,2216,3,28
3425,341,31,8
6007,341,3,8
795,341,2,9
1474,341,32,9
2623,2216,32,27
2781,2216,2,27
1,0,1,26
2428,2216,33,26
3168,341,33,10
3477,341,1,10
1173,341,34,11
2900,2216,34,25
383,770,25,1
5048,1508,9,1
613,1508,8,2
1982,770,26,2
2749,770,26,34
3308,1508,8,34
694,1508,7,33
770,770,27,33
2544,1508,7,3
2692,770,27,3
730,1508,6,32
3342,2287,28,4
3344,2699,6,4
3523,770,28,32
1644,770,29,31
1724,2287,29,5
5042,1508,5,31
5043,5043,5,5
1397,341,4,6
2878,2878,30,30
3018,836,4,30
3423,2287,30,6
707,341,3,7
973,836,3,29
1468,1468,31,7
1957,2288,31,29
3372,3372,32,28
3540,341,32,8
4077,341,2,8
5037,2216,2,28
19,0,33,9
2008,2216,33,27
2923,341,1,9
3051,2216,1,27
1248,2216,34,26
1475,341,34,10
955,1508,8,1
2138,770,26,1
271,770,27,34
767,1508,7,2
1449,770,27,2
1508,1508,7,34
242,770,28,33
702,2287,28,3
1487,1508,6,33
3277,1508,6,3
513,2287,29,4
1381,1508,5,32
2735,2735,5,4
4055,770,29,32
579,2287,30,5
1868,1508,4,31
2505,2505,30,31
3509,2699,4,5
761,761,31,30
1828,2287,31,6
2040,341,3,6
2465,836,3,30
839,341,2,7
1136,2216,2,29
2288,2288,32,29
2558,341,32,7
341,341,1,8
511,341,33,8
2644,2216,33,28
3468,2216,1,28
2618,341,34,9
4069,2216,34,27
3407,770,27,1
4091,4091,7,1
913,770,28,34
1577,1508,6,2
2569,770,28,2
2619,1508,6,34
650,1508,5,33
1952,1508,5,3
2287,2287,29,3
2696,770,29,33
1519,2699,4,4
2196,2287,30,4
2317,1508,4,32
3355,770,30,32
930,836,3,31
1368,1368,31,31
1494,341,3,5
1559,2287,31,5
2,0,2,6
1717,341,32,6
3602,836,2,30
4065,4065,32,30
591,341,1,7
1809,2216,1,29
2624,341,33,7
2750,2750,33,29
1088,2216,34,28
3345,341,34,8
82,1508,6,1
2176,770,28,1
1389,1508,5,34
4056,2287,29,2
4084,1508,5,2
6006,770,29,34
1414,1414,4,3
2570,2287,30,3
2973,770,30,33
3537,1508,4,33
78,836,3,32
3005,3005,31,32
4062,2287,31,4
4080,4080,3,4
1033,341,2,5
4076,836,2,31
5032,5032,32,31
5033,2287,32,5
546,546,33,30
1145,836,1,30
1453,341,1,6
2444,341,33,6
1412,341,34,7
1636,2216,34,29
285,1508,5,1
5027,770,29,1
1816,2287,30,2
2474,770,30,34
3627,1508,4,2
6009,1508,4,34
791,2287,31,3
1802,770,31,33
2311,2842,3,33
